Nurse,Day,Travel Time,Work Time
56,4,0.0,0
56,5,0.0,60
57,1,0.0,0
57,2,0.0,0
57,3,0.0,0
57,4,0.0,330
57,5,134.0,330
58,1,0.0,0
58,2,0.0,0
58,3,0.0,0
58,4,0.0,0
58,5,134.0,60
